仺,人𰀄
任,亻壬
仼,亻王
份,亻分
仾,亻互
仿,亻方
伀,亻公
企,人止
伂,亻巿 亻市
伃,亻予
伄,亻弔
伅,亻屯
伆,亻勿
伇,亻殳
伈,亻心
伉,亻亢
伊,亻尹
伋,亻及
伌,亻厄
伍,亻五
伎,亻支
伏,亻犬 㐲丶
伐,亻戈
休,亻木
伒,亻斤
伓,亻不
伔,亻冗 亻冖儿
伕,亻夫
伖,亻友
众,人从
优,亻尤
伙,亻火
会,人云 亼𠫔
伛,亻区
伜,亻卆
伝,亻云
伞,个䒑
伟,亻韦
传,亻专
伡,亻车
伢,亻牙
伣,亻见
伤,亻𱐩
伥,亻长
伦,亻仑
伧,亻仓
伨,亻匀 亻勻
伩,亻文
伪,亻为
伫,亻㝉
伬,亻尺 𰁢乀
伭,亻玄
伮,亻奴 㚢又
伯,亻白
估,亻古
伱,亻尒
伲,亻尼 𰁢匕
伳,亻世
伴,亻半
伵,亻四
伶,亻令
伷,亻由
伸,亻申
伹,亻且
伺,亻司
伻,亻平
似,亻以
伽,亻加 仂口
伾,亻丕
伿,亻只
佀,亻㠯
佁,亻台
佂,仜⺊ 亻正
佃,亻田
佄,亻甘
佅,亻未
但,亻旦
佇,亻宁
佈,亻布
佉,亻去
佊,亻皮
佋,亻召
佌,亻此
位,亻立
低,亻氐
住,亻主
佐,亻左
佑,亻右
佒,亻央
体,亻本
佔,亻占
何,亻可
佖,亻必
佗,亻它
佘,亼𡭕 人示
余,亼朩 𫢉人 亼木
佚,亻失
佛,亻弗
作,亻乍
佝,亻句
佞,亻𡚬
佟,亻冬
你,亻尔
佡,亻仚
佢,亻巨 仜コ
佣,亻用
佤,亻瓦
佥,亼𭕄一
佦,亻石
佧,亻卡
佨,亻包
佩,亻𫥞
佪,亻回
佫,亻各
佬,亻老
佭,亻夅
佮,亻合
佯,亻羊
佰,亻百
佱,人㱏 亼正
佲,亻名
佳,亻圭
佴,亻耳
併,亻并
佶,亻吉
佷,亻艮
佸,亻舌
佹,亻危
佺,亻全
佻,亻兆
佼,亻交
佽,亻次 仁欠
佾,亻䏌 亻八月
使,亻吏
侀,亻刑 𠆻刂
侁,亻先
侂,亻㡯 𠆲乇
侃,亻口𫶧
侄,亻至
侅,亻亥
來,十从人
侇,亻夷
侈,亻多
侉,亻夸
侊,亻光
例,亻列
侌,今云
侍,亻寺
侎,亻米
侏,亻朱
侐,亻血
侑,亻有
侒,亻安
侓,亻聿
侔,亻牟
侕,亻而
侖,亼𠕁
侗,亻同
侘,亻宅
侙,亻式
侚,亻旬
供,亻共
侜,亻舟
依,亻衣
侞,亻如 㚢口
侟,亻存
侠,亻夹
価,亻覀
侢,亻再
侣,亻吕
侤,亻考
侥,亻尧
侦,亻贞
侧,亻则 𱎡刂
侨,亻乔
侩,亻会
